epoch,train_loss,val_top1,val_top5
0,4.484486580047608,11.44,30.58
1,3.662258588409424,14.97,39.21
2,3.284392975845337,20.52,44.45
3,3.055133023147583,21.24,47.42
4,2.884632194442749,26.41,53.74
5,2.775829149398804,26.11,53.21
6,2.7010790018463133,25.4,52.13
7,2.6449863162994385,28.39,55.64
8,2.612257152633667,26.02,52.66
9,2.585319954986572,26.18,54.1
10,2.555440534362793,23.71,49.6
11,2.535590159225464,27.99,54.52
12,2.523821098251343,33.24,62.54
13,2.51475521484375,20.3,45.71
14,2.503444276885986,32.44,60.88
15,2.4931379638671873,30.41,58.45
16,2.4926666327667237,30.26,58.31
17,2.4795244877624514,29.13,57.68
18,2.4783985715484618,30.92,58.97
19,2.4660201603698733,26.63,53.62
20,2.468959599609375,31.63,60.24
21,2.4617190672302245,27.02,53.97
22,2.462518496017456,25.97,51.83
23,2.452173224182129,22.14,47.82
24,2.4497344758605957,25.84,51.93
25,2.441405220336914,33.22,61.03
26,2.44934188079834,25.45,52.67
27,2.4384389553833006,30.67,59.51
28,2.440244229812622,32.25,60.14
29,2.442143930282593,20.71,45.51
30,2.431191372528076,25.46,53.55
31,2.4301679402923586,29.7,56.82
32,2.438027381362915,31.39,58.56
33,2.440476325302124,30.3,57.15
34,2.4259858111572266,27.18,55.54
35,2.4291331927490236,31.23,60.54
36,2.4279493353271486,30.91,58.06
37,2.419744170913696,30.73,58.46
38,2.424932621307373,34.02,62.05
39,2.4264156407165527,33.71,62.47
40,2.4189128901672365,29.62,57.14
41,2.4269806491851806,18.95,41.08
42,2.4131321852111816,29.92,59.32
43,2.422779560928345,32.51,61.41
44,2.419286884689331,30.71,59.38
45,2.4161976960754394,31.03,59.38
46,2.418239264678955,31.41,58.48
47,2.4218760079956057,32.75,59.88
48,2.417402500228882,32.07,59.96
49,2.4175079515838624,34.05,62.6
50,2.418931124267578,31.12,59.24
51,2.41634024017334,33.72,60.95
52,2.4190211750793456,33.78,61.89
53,2.4172963999176025,26.51,55.59
54,2.4168247103881835,28.28,55.57
55,2.4215879663085937,31.69,59.33
56,2.414105396575928,29.63,58.15
57,2.4168063612365724,31.41,61.04
58,2.4089238469696044,32.23,60.68
59,2.4157944784545897,25.68,52.51
60,2.4076859155273436,31.57,58.54
61,1.7017074798965455,54.8,79.46
62,1.5389354887771607,53.83,79.15
63,1.5065108266448974,53.3,78.33
